EP300	ENSG00000017427
E2F4	ENSG00000166803
ETS1	ENSG00000125735
EZH2	ENSG00000141510
YY1	ENSG00000100644
EGR1	ENSG00000111537
ETS1	ENSG00000151702
CTCF	ENSG00000117408
ESRRA	ENSG00000180530
IRF4	ENSG00000113916
RB1	ENSG00000077782
BRCA1	ENSG00000100644
YY1	ENSG00000127184
USF2	ENSG00000168066
STAT3	ENSG00000111679
STAT5A	ENSG00000111537
SRF	ENSG00000020577
USF2	ENSG00000105388
YY1	ENSG00000111775
ELK1	ENSG00000086232
ETS1	ENSG00000121966
BRCA1	ENSG00000149311
YY1	ENSG00000120889
YBX1	ENSG00000039068
GABPA	ENSG00000154174
CREM	ENSG00000120129
JUND	ENSG00000113525
UBTF	ENSG00000115750
RUNX3	ENSG00000110092
IRF3	ENSG00000083312
EGR1	ENSG00000112715
RUNX3	ENSG00000106144
STAT3	ENSG00000175567
STAT3	ENSG00000131788
EP300	ENSG00000135679
ELK1	ENSG00000120889
REST	ENSG00000175426
CREM	ENSG00000170345
EP300	ENSG00000106462
TBP	ENSG00000134057
STAT3	ENSG00000139083
NRF1	ENSG00000021574
USF2	ENSG00000121966
YY1	ENSG00000173511
ATF2	ENSG00000122861
EZH2	ENSG00000039068
RUNX3	ENSG00000064012
JUND	ENSG00000001084
STAT1	ENSG00000114013
CUX1	ENSG00000111276
E2F4	ENSG00000123374
HSF1	ENSG00000124762
MYB	ENSG00000113580
ARID3A	ENSG00000080839
NRF1	ENSG00000025772
ARNT	ENSG00000168389
REST	ENSG00000008056
PAX5	ENSG00000141510
NFIC	ENSG00000100479
HDAC2	ENSG00000173077
BCL3	ENSG00000118513
ETS1	ENSG00000122861
KLF5	ENSG00000110092
PAX5	ENSG00000164362
USF1	ENSG00000172183
STAT3	ENSG00000136244
ETS1	ENSG00000155366
CREM	ENSG00000145386
USF2	ENSG00000012048
BRCA1	ENSG00000154767
NFIC	ENSG00000108821
ETS1	ENSG00000120656
STAT1	ENSG00000080824
HSF1	ENSG00000109320
ELK1	ENSG00000106462
SRF	ENSG00000165060
STAT1	ENSG00000012124
USF2	ENSG00000166710
YBX1	ENSG00000121966
HDAC2	ENSG00000073282
YY1	ENSG00000128271
STAT3	ENSG00000142166
STAT1	ENSG00000073060
CEBPB	ENSG00000163629
ETS1	ENSG00000213341
EZH2	ENSG00000111424
ELK1	ENSG00000143384
YBX1	ENSG00000123975
STAT3	ENSG00000120889
EP300	ENSG00000172273
YY1	ENSG00000137203
NFIC	ENSG00000189403
E2F4	ENSG00000142731
KLF5	ENSG00000121966
BCL3	ENSG00000102974
ETS1	ENSG00000126010
BRCA1	ENSG00000110092
STAT1	ENSG00000183696
YY1	ENSG00000116478
NFIC	ENSG00000115207
HDAC2	ENSG00000124762
JUNB	ENSG00000124762
ARNT	ENSG00000012048
BRCA1	ENSG00000111276
TCF12	ENSG00000039068
CEBPZ	ENSG00000134982
STAT3	ENSG00000173511
NRF1	ENSG00000102081
E2F4	ENSG00000166851
MTA2	ENSG00000039068
EGR1	ENSG00000050820
USF2	ENSG00000143190
STAT1	ENSG00000127616
HDGF	ENSG00000112715
EGR1	ENSG00000167323
EGR1	ENSG00000117632
EGR1	ENSG00000141510
YY1	ENSG00000121966
CTCF	ENSG00000136997
PAX5	ENSG00000100219
EGR1	ENSG00000178035
TBP	ENSG00000196712
EP300	ENSG00000113525
STAT3	ENSG00000118046
E2F4	ENSG00000089685
RB1	ENSG00000012048
STAT1	ENSG00000179583
USF1	ENSG00000179583
EZH2	ENSG00000125618
HDAC2	ENSG00000136997
RXRA	ENSG00000225921
STAT3	ENSG00000003402
SRF	ENSG00000170345
CREM	ENSG00000118260
EP300	ENSG00000147883
MYB	ENSG00000172845
BRCA1	ENSG00000156273
STAT3	ENSG00000170606
TBX21	ENSG00000101158
STAT3	ENSG00000143384
ETS1	ENSG00000100385
RFX5	ENSG00000196591
ZNF217	ENSG00000039068
ZNF24	ENSG00000113721
EZH2	ENSG00000147883
TBX21	ENSG00000100811
CEBPB	ENSG00000180914
HDAC2	ENSG00000158473
RUNX3	ENSG00000124762
MYB	ENSG00000168906
USF1	ENSG00000102575
YY1	ENSG00000160285
YY1	ENSG00000012048
HDAC2	ENSG00000130816
USF2	ENSG00000164733
EZH2	ENSG00000134982
STAT1	ENSG00000115419
NR2F1	ENSG00000138823
E2F4	ENSG00000189308
EGR1	ENSG00000103479
EP300	ENSG00000148516
STAT3	ENSG00000111276
STAT3	ENSG00000099985
PAX5	ENSG00000177455
CEBPB	ENSG00000124762
STAT5A	ENSG00000091831
KLF5	ENSG00000089685
EP300	ENSG00000089685
MYB	ENSG00000108821
YY1	ENSG00000148291
STAT1	ENSG00000154589
RB1	ENSG00000080839
PAX5	ENSG00000104921
USF1	ENSG00000162896
JUND	ENSG00000118513
BRCA1	ENSG00000134574
RB1	ENSG00000089685
YY1	ENSG00000160752
HDAC2	ENSG00000112715
ARID3A	ENSG00000101412
EGR1	ENSG00000152904
YY1	ENSG00000005339
JUND	ENSG00000181019
RB1	ENSG00000124762
CREM	ENSG00000167468
HCFC1	ENSG00000101412
RUNX3	ENSG00000114315
EGR1	ENSG00000164715
STAT3	ENSG00000163629
TAF1	ENSG00000124762
NFYB	ENSG00000118971
STAT1	ENSG00000142192
NRF1	ENSG00000165672
EGR1	ENSG00000087085
JUNB	ENSG00000141646
USF2	ENSG00000173638
YY1	ENSG00000117362
CBFB	ENSG00000020633
RUNX3	ENSG00000159216
MEF2C	ENSG00000008086
STAT3	ENSG00000177463
RUNX3	ENSG00000151923
NFIC	ENSG00000106628
PAX5	ENSG00000087088
BRCA1	ENSG00000124762
RELB	ENSG00000162896
ESRRA	ENSG00000106546
STAT1	ENSG00000111537
USF2	ENSG00000122884
SRF	ENSG00000198947
ETS1	ENSG00000147889
EP300	ENSG00000132646
MAX	ENSG00000166164
HSF1	ENSG00000168439
USF2	ENSG00000185339
EZH2	ENSG00000132646
EGR1	ENSG00000008056
SRF	ENSG00000118260
EZH2	ENSG00000108424
USF2	ENSG00000116016
SKIL	ENSG00000101665
NFATC3	ENSG00000117984
CEBPB	ENSG00000173638
MYB	ENSG00000015285
ELK1	ENSG00000080815
CEBPB	ENSG00000137265
EGR1	ENSG00000164889
RUNX3	ENSG00000164305
NRF1	ENSG00000119912
HDGF	ENSG00000039068
ARNT	ENSG00000112715
CREM	ENSG00000112592
RB1	ENSG00000139687
USF1	ENSG00000111679
HCFC1	ENSG00000205250
STAT3	ENSG00000073282
E2F4	ENSG00000197442
STAT3	ENSG00000187555
BRCA1	ENSG00000168610
CTCF	ENSG00000214548
STAT3	ENSG00000143190
ETS1	ENSG00000204842
USF1	ENSG00000134057
YY1	ENSG00000130164
USF2	ENSG00000102575
USF1	ENSG00000117984
RFX5	ENSG00000111537
PAX5	ENSG00000136573
STAT3	ENSG00000105329
USF1	ENSG00000140465
RB1	ENSG00000112715
ATF2	ENSG00000070501
ETS1	ENSG00000041982
STAT3	ENSG00000090339
STAT3	ENSG00000124762
YY1	ENSG00000111537
CEBPB	ENSG00000175197
YY1	ENSG00000164105
YBX1	ENSG00000131747
NFE2	ENSG00000001084
ETS1	ENSG00000059377
ARNT	ENSG00000105173
ETS1	ENSG00000141510
MYB	ENSG00000167900
BRCA1	ENSG00000088247
YBX1	ENSG00000101412
RB1	ENSG00000165392
EGR1	ENSG00000129518
STAT3	ENSG00000172936
IRF3	ENSG00000136869
IRF4	ENSG00000126456
MYB	ENSG00000090339
USF1	ENSG00000073861
STAT1	ENSG00000136244
BCL3	ENSG00000173039
EZH2	ENSG00000147889
BRCA1	ENSG00000112715
RB1	ENSG00000175197
USF1	ENSG00000142864
NFIC	ENSG00000161638
STAT3	ENSG00000159176
ETS1	ENSG00000143799
EZH2	ENSG00000179583
STAT1	ENSG00000204592
CTCF	ENSG00000163346
